Name,Type,County,Population
Inglewood,City,Los Angeles,107762
Ione,City,Amador,5141
Irvine,City,Orange,307670
Irwindale,City,Los Angeles,1472
Isleton,City,Sacramento,794
Jackson,City,Amador,5019
Jurupa Valley,City,Riverside,105053
Kerman,City,Fresno,16016
King City,City,Monterey,13332
Kingsburg,City,Fresno,12380
La Cañada Flintridge,City,Los Angeles,20573
La Habra,City,Orange,63097
La Habra Heights,City,Los Angeles,5682
La Mesa,City,San Diego,61121
La Mirada,City,Los Angeles,48008
La Palma,City,Orange,15581
La Puente,City,Los Angeles,38062
La Quinta,City,Riverside,37558
La Verne,City,Los Angeles,31334
Lafayette,City,Contra Costa,25391
Laguna Beach,City,Orange,23032
Laguna Hills,City,Orange,31374
Laguna Niguel,City,Orange,64355
Laguna Woods,City,Orange,17644
Lake Elsinore,City,Riverside,70265
Lake Forest,City,Orange,85858
Lakeport,City,Lake,5026
Lakewood,City,Los Angeles,82496
Lancaster,City,Los Angeles,173516
Larkspur,City,Marin,13064
Lathrop,City,San Joaquin,28701
Lawndale,City,Los Angeles,31807
Lemon Grove,City,San Diego,27627
Lemoore,City,Kings,27038
Lincoln,City,Placer,49757
Lindsay,City,Tulare,12659
Live Oak,City,Sutter,9106
Livermore,City,Alameda,87955
Livingston,City,Merced,14172
Lodi,City,San Joaquin,66348
Loma Linda,City,San Bernardino,24791
Lomita,City,Los Angeles,20921
Lompoc,City,Santa Barbara,44444
Long Beach,City,Los Angeles,466742
Loomis,Town,Placer,6836
Los Alamitos,City,Orange,11780
Los Altos,City,Santa Clara,31625
Los Altos Hills,Town,Santa Clara,8489
Los Angeles,City,Los Angeles,3898747
Los Banos,City,Merced,45532
Los Gatos,Town,Santa Clara,33529
Loyalton,City,Sierra,740
Lynwood,City,Los Angeles,67265
Madera,City,Madera,66224
Malibu,City,Los Angeles,10654
Mammoth Lakes,Town,Mono,7191
Manhattan Beach,City,Los Angeles,35506
Manteca,City,San Joaquin,83498
Maricopa,City,Kern,1026
Marina,City,Monterey,22359
Martinez,City,Contra Costa,37287
Marysville,City,Yuba,12844
Maywood,City,Los Angeles,25138
McFarland,City,Kern,14161
Mendota,City,Fresno,12595
Menifee,City,Riverside,102527
Menlo Park,City,San Mateo,33780
Merced,City,Merced,86333
Mill Valley,City,Marin,14231
Millbrae,City,San Mateo,23216
Milpitas,City,Santa Clara,80273
Mission Viejo,City,Orange,93653
Modesto,City,Stanislaus,218464
Monrovia,City,Los Angeles,37931
Montague,City,Siskiyou,1226
Montclair,City,San Bernardino,37865
Monte Sereno,City,Santa Clara,3479
Montebello,City,Los Angeles,62640
Monterey,City,Monterey,30218
Monterey Park,City,Los Angeles,61096
Moorpark,City,Ventura,36284
Moraga,Town,Contra Costa,16870
Moreno Valley,City,Riverside,208634
Morgan Hill,City,Santa Clara,45483
Morro Bay,City,San Luis Obispo,10757
Mount Shasta,City,Siskiyou,3223
Mountain View,City,Santa Clara,82376
Murrieta,City,Riverside,110949
Napa,City,Napa,79246
National City,City,San Diego,56173
Needles,City,San Bernardino,4931
Nevada City,City,Nevada,3152
Newark,City,Alameda,47529
